Transaction_ID,Date,SKU,Category,Sub_category,Product_Name,unit_price,total_items,is_special,total_cost,Customer_Name,Gender,Age,City,payment_method,access_url
1843478786,2024-05-16,3091330P,Pantry,Sauces,Tomato & BBQ,0.96,7,False,6.72,Zachary Moss,male,55,Adelaide,Debit Card,Website
7155973861,2020-01-05,3739296P,Drinks,Coffee Drinks,Mixes Coffee,1.23,8,False,9.84,Sarah Spencer,female,48,Sydney,Coupons,Mobile App
5961660529,2019-12-13,6829012P,Pantry,"Jams, honey & spreads",Jams,3.51,7,False,24.57,Olivia Walker,female,61,Adelaide,Debit Card,Website
7731343542,2018-02-26,4476240P,Pantry,"Chips, crackers & snacks",Muesli bars & fruit snacks,7.79,10,False,77.9,Kimberly Hendricks,female,36,Sydney,Coupons,Mobile App
6945159715,2024-03-10,3574709P,Pantry,"Jams, honey & spreads",Nut spreads,2.51,9,False,22.589999999999996,Tiffany Harding,female,59,Melbourne,Coupons,Website
4647762751,2018-12-19,7916101P,"Dairy, eggs & fridge",Milk,Full cream milk,1.97,10,False,19.7,Billy Evans,male,52,Melbourne,Credit Card,Mobile App
5468836466,2019-05-24,5682236P,Pantry,Confectionery,Chocolate bars,3.75,2,False,7.5,Nicholas Valencia,male,48,Sydney,Credit Card,Mobile App
2637645037,2021-11-02,8492044P,Pantry,Breakfast,Breakfast cereal,1.83,3,False,5.49,Christine Brown,female,43,Brisbane,Debit Card,Mobile App
1847804488,2020-12-22,1726045P,Drinks,Sports drinks,Sports drink,6.0,9,True,43.2,Tamara Knight,female,58,Sydney,Debit Card,Mobile App
7951357687,2020-07-16,7135610P,Pantry,Confectionery,Chocolate bags,2.99,4,False,11.96,Michele Butler,female,54,Perth,Credit Card,Website
4141613905,2020-05-25,4186590P,Bakery,Packaged Breads,Digestive Health & Speciality Bread,0.49,1,False,0.49,Robert Lopez,male,60,Gold Coast,Coupons,Mobile App
4894253418,2023-11-14,6068980P,Pantry,Sauces,Stir-fry and curries,1.08,9,False,9.72,Victoria Sanchez,female,72,Melbourne,Coupons,Mobile App
7180934799,2018-11-25,4651361P,Drinks,Tea Drinks,Tea Bubble,1.82,5,False,9.1,Jason Perez,male,45,Gold Coast,Debit Card,Mobile App
9141836127,2022-08-12,3951790P,Pantry,"Chips, crackers & snacks",Potato chips,3.07,8,False,24.56,Eric Howell,male,44,Melbourne,Coupons,Mobile App
9633169570,2020-11-16,5530384P,Pantry,Confectionery,Chocolate bags,2.96,10,False,29.6,Sara Callahan,female,43,Sydney,Debit Card,Website
9713298955,2018-08-28,7220923P,Pantry,"Chips, crackers & snacks",Biscuits & cookies,3.9,2,False,7.8,Tony Miller,male,58,Adelaide,Credit Card,Website
8829024187,2019-05-27,3075367P,Pantry,"Jams, honey & spreads",Nut spreads,7.0,6,False,42.0,Monica Johnson,female,43,Perth,Coupons,Website
9098117415,2021-05-28,5704394P,Pantry,"Jams, honey & spreads",Jams,2.01,6,False,12.059999999999999,Amy Cooley,female,40,Sydney,Credit Card,Website
4786791305,2021-05-15,5296630P,Pantry,Breakfast,Breakfast cereal,1.51,7,False,10.57,Sharon Hall,female,48,Gold Coast,Coupons,Mobile App
1078570780,2020-08-13,4407699P,Pantry,"Chips, crackers & snacks",Biscuits & cookies,2.87,2,False,5.74,Billy Perez,male,35,Brisbane,Credit Card,Mobile App
2146942205,2019-08-20,343415P,Pantry,Oils & vinegars,Oil,1.09,1,True,0.8720000000000001,Kimberly Nichols,female,40,Darwin,Debit Card,Mobile App
5226551772,2020-05-04,4651350P,Drinks,Tea Drinks,Tea Bubble,1.85,6,False,11.100000000000001,Benjamin Proctor,male,47,Perth,Debit Card,Mobile App
3743894391,2020-06-02,5483943P,Pantry,Tea,Black,5.25,4,False,21.0,James Chavez,male,41,Adelaide,Debit Card,Website
7423742629,2023-03-13,329276P,Pantry,"Chips, crackers & snacks",Biscuits & cookies,1.15,6,False,6.8999999999999995,Olivia Young,female,54,Brisbane,Debit Card,Mobile App
1671618169,2023-03-23,3943543P,"Dairy, eggs & fridge",Cheese,Block cheese,25.0,9,False,225.0,Sandra Hill,female,70,Sydney,Credit Card,Mobile App
4634789456,2019-12-19,4490524P,Meat & seafood,Pork,Pork marinade,20.45,6,False,122.69999999999999,Teresa Johnson,female,63,Perth,Coupons,Mobile App
7227541514,2024-03-31,4864679P,Meat & seafood,Lamb,Lamb cutlets,29.0,7,False,203.0,Jesus Higgins,male,35,Perth,Debit Card,Website
7216399412,2018-02-13,2268810P,Pantry,Coffee,Capsules,11.98,2,False,23.96,William Skinner,male,59,Sydney,Coupons,Website
9141724225,2024-03-18,7163820P,"Dairy, eggs & fridge",Cheese,Cheddar & tasty cheese,56.0,8,False,448.0,Meagan Jacobs,female,61,Brisbane,Coupons,Website
7606983026,2019-05-02,3448271P,Drinks,Soft drinks,Soft drink bottles,4.13,1,False,4.13,Zachary Williams,male,34,Sydney,Debit Card,Mobile App
